full_name,title,company,batch,linkedin,segment,dm_angle,one_liner
Rafael Garcia,Co-founder & CTO,KERNEL,S25,https://www.linkedin.com/in/rafgarcia/,technical,technical-peer (evals/production reliability),"Crazy fast, open source infra for AI agents to use the Internet"
Andrey Avtomonov,Co-founder & CTO,Kaelio,P25,https://www.linkedin.com/in/andreyavtomonov/,technical,technical-peer (evals/production reliability),The open-source context layer for data agents
Baptiste Debever,Co-founder / CTO,Lucis,P25,https://linkedin.com/in/bdebever,technical,technical-peer (evals/production reliability),Function Health for Europe 
Sunjeet Chugh,Founder and CTO,Mod AI,F25,https://www.linkedin.com/in/jeetchugh/,technical,technical-peer (evals/production reliability),Touchless AP Automation
Eduard Piliposyan,Co-Founder & CTO,Modelence,S25,https://www.linkedin.com/in/eduard-piliposyan,technical,technical-peer (evals/production reliability),The full-stack platform for agentic development
Ali Sareini,Founder & CTO,Nautilus,S25,https://www.linkedin.com/in/alisareini/,technical,technical-peer (evals/production reliability),AI platform to grow and to optimize car washes
Tiger Wang,Co-Founder & CTO,Nessie,F25,https://www.linkedin.com/in/tiger-wang-6a9b06189/,technical,technical-peer (evals/production reliability),"A shared context layer for you, your team, and your agents."
Amulya Balakrishnan,Founder/ CTO,Novaflow,S25,https://linkedin.com/in/amulya-balakrishnan,technical,technical-peer (evals/production reliability),The AI data analyst for biology labs
Abhi Arya,Co-Founder and CTO,Opennote,S25,https://linkedin.com/in/abhiaarya,technical,technical-peer (evals/production reliability),The notebook that thinks with you.
Porsev Aslan,Co-founder & CTO,Openroll,F25,https://www.linkedin.com/in/porsev-aslan/,technical,technical-peer (evals/production reliability),The AI workforce for People and Finance teams
Wyatt Lansford,Co-founder & CTO,Pally,S25,https://www.linkedin.com/in/wyattlansford,technical,technical-peer (evals/production reliability),Intelligent Unified Inbox + Personal CRM
Tony Yamin,Co-Founder & CTO,Parachute,S25,https://www.linkedin.com/in/tyamin,technical,technical-peer (evals/production reliability),Infrastructure for hospitals to monitor and deploy clinical AI 
Kyle Jung,"CTO, Co-Founder",Perspectives Health,S25,https://www.linkedin.com/in/kyle-hyun-woo-jung-a06814180/,technical,technical-peer (evals/production reliability),Automating away admin for behavioral health clinics
Jonathan van Wersch,Co-founder & CTO,Phases,S25,https://www.linkedin.com/in/jonathan-vw/,technical,technical-peer (evals/production reliability),Automated clinical trial oversight and execution
Marcello De Bernardi,Founder & CTO,Plexe,P25,https://www.linkedin.com/in/marcello-de-bernardi/,technical,technical-peer (evals/production reliability),Open-source agents to build predictive ML models from a prompt
Akash Thakur,Cofounder/CTO,ProcIndex,S25,https://www.linkedin.com/in/akashthakur1203,technical,technical-peer (evals/production reliability),AI Agents for Accounting Operations
Thiago Peres,Founder & CTO,Rally,W25,https://www.linkedin.com/in/thiagoperespm/,technical,technical-peer (evals/production reliability),Financial OS for Modern Fleets
Helly Shah,Co-Founder & CTO,Ralo,P25,https://www.linkedin.com/in/hellyshah,technical,technical-peer (evals/production reliability),Find Your Best Mortgage Deal
Antonio Monreal,Founder/CTO,Revise Robotics,W25,https://www.linkedin.com/in/antonio-monreal-71b0751b5/,technical,technical-peer (evals/production reliability),Automating refurbishment of $1T in consumer electronics
Jay Kwon,Founder/CTO,Scoop,F25,https://www.linkedin.com/in/soonjae/,technical,technical-peer (evals/production reliability),Automating regulatory submissions for life sciences
Max Bertfield,Founder & CTO,Scout,W25,https://www.linkedin.com/in/maxbertfield/,technical,technical-peer (evals/production reliability),AI-powered student information system for K-12 schools
Waleed Latif,Co-Founder & CTO,Sim,P25,https://www.linkedin.com/in/waleedlatif,technical,technical-peer (evals/production reliability),Open source platform to build AI agent workflows
Connor Park,"Co-Founder, CTO",Skope,S25,https://www.linkedin.com/in/connor-park24/,technical,technical-peer (evals/production reliability),AI Agents for Law Firms.
Satya Vasanth Tumati,Co-Founder & CTO,Socratix AI,S25,https://www.linkedin.com/in/satya-vasanth/,technical,technical-peer (evals/production reliability),AI coworkers for fraud and risk teams.
Linus Malmén,Co-founder and CTO,Solva,S25,https://www.linkedin.com/in/linus-malmén-2588406a/,technical,technical-peer (evals/production reliability),Automates insurance claims and stops incorrect payouts
Daniel Worku,Co-founder & CTO,StarSling,P25,https://www.linkedin.com/in/worku,technical,technical-peer (evals/production reliability),Self-Driving CI
Roksana Baleshzar,Co-founder & CTO,TectoAI,S25,https://www.linkedin.com/in/roksana-baleshzar/,technical,technical-peer (evals/production reliability),A Platform for AI Governance
Zeyneb Kaya,Co-Founder & CTO,Topological,S25,https://www.linkedin.com/in/zeyneb-kaya/,technical,technical-peer (evals/production reliability),Physics-based foundation models for CAD optimization.
Mason Pierce,Cofounder / CTO,TrainLoop,W25,https://www.linkedin.com/in/malapier,technical,technical-peer (evals/production reliability),Reasoning Fine-Tuning
Chris Minge,Co-Founder & CTO,Vulcan Technologies,S25,https://www.linkedin.com/in/chrisminge,technical,technical-peer (evals/production reliability),"AI for every law, regulation, and court case"
Fabien Devos,Cofounder/CTO,Vybe,P25,https://www.linkedin.com/in/fabiendevos,technical,technical-peer (evals/production reliability),Secure internal apps. Built by AI in seconds. Powered by your data.
Achyut Krishna Byanjankar,"Co-Founder, CTO",YouLearn,P25,https://linkedin.com/in/achyut-byanjankar,technical,technical-peer (evals/production reliability),AI tutor for each student. 
Aaron Carver,Co-founder and CTO,chrt,P25,https://linkedin.com/in/aaroncarver,technical,technical-peer (evals/production reliability),chrt is a logistics platform for time-critical shipping
Stephen Balogh,Co-founder and CTO,s2.dev,F25,https://www.linkedin.com/in/stephen-balogh-078a4995/,technical,technical-peer (evals/production reliability),"API for unlimited, durable, real-time streams"
Adam Wu,CTO & Co-founder,AminoAnalytica,S24,https://linkedin.com/in/akhwu,technical,technical-peer (evals/production reliability),The AI-Native Operating System for Protein Engineering
Oli Wales,Founder/CTO,Arva AI,S24,https://linkedin.com/in/oliverfwales,technical,technical-peer (evals/production reliability),"AI Agents to scale AML, KYB and KYC operations"
Parth Chopra,Co-Founder and CTO,Candle,F24,https://linkedin.com/in/parthematics,technical,technical-peer (evals/production reliability),Candle helps friends and couples grow closer daily in just 5 minutes.
Joel Pendleton,Co-Founder and CTO,Conductor Quantum,S24,https://www.linkedin.com/in/joelpendleton/,technical,technical-peer (evals/production reliability),AI that operates quantum computers for scientific discovery
Peter Sun,Founder/CTO,Dimely,S24,https://linkedin.com/in/p2sun,technical,technical-peer (evals/production reliability),AI-Powered Spreadsheet for Billing Automation
Carl Cortright,Founder + CTO,Flyflow,S24,https://www.linkedin.com/in/carlcortright/,technical,technical-peer (evals/production reliability),The easiest way to find high-quality sales leads
Jacob Zwang,Founder/CTO,Freestyle,S24,https://www.linkedin.com/in/jacobzwang/,technical,technical-peer (evals/production reliability),We run and deploy code your AI wrote
Sashank Gondala,CTO/Co-founder,FurtherAI,W24,https://linkedin.com/in/sashank-gondala-083132a0,technical,technical-peer (evals/production reliability),AI Workforce for the Insurance Industry
Peter Nsaka,Co-Founder/CTO,Handled,S24,https://www.linkedin.com/in/nsakapeter/,technical,technical-peer (evals/production reliability),Automating post-order operations for e-commerce brands and 3PLs
Lalit Lal,"Cofounder, CTO",Keye,F24,https://www.linkedin.com/in/lalitlal,technical,technical-peer (evals/production reliability),The Smartest Private Equity Investor
Sonali Pattnaik,CTO & Co-founder,Lighthouz AI,S24,https://www.linkedin.com/in/sonali-pattnaik/,technical,technical-peer (evals/production reliability),"Freight bill audits, AP, AR automation for freight brokers with…"
Shelden Shi,Co-Founder / CTO,Lilac Labs,S24,https://linkedin.com/in/sheldenshi,technical,technical-peer (evals/production reliability),We automate the person taking orders at drive-thrus with a voice AI
Deshraj Yadav,Co-Founder and CTO,Mem0,S24,https://linkedin.com/in/deshrajdry,technical,technical-peer (evals/production reliability),The Memory layer for AI Agents
Bharadwaj Swaminathan,Founder/Head of Eng,Mica AI,S24,https://www.linkedin.com/in/bharadwajswaminathan,technical,technical-peer (evals/production reliability),Replace the humans fixing bad data
Jai Yarlagadda,Founder/CTO,Mica AI,S24,https://www.linkedin.com/in/jai-yarlagadda-8a4733109/,technical,technical-peer (evals/production reliability),Replace the humans fixing bad data
Eric Kim,"CTO, Co-Founder",NetworkOcean,S24,https://linkedin.com/in/yekime,technical,technical-peer (evals/production reliability),We build and operate underwater data centers.
Ali Kavoosi,Founder/CTO,Orca Launcher,S24,https://www.linkedin.com/in/alikav/,technical,technical-peer (evals/production reliability),A launcher that turns Minecraft into a game platform like Roblox 
Casey Traina,Founder/CTO,Overlap,S24,https://linkedin.com/in/caseytraina,technical,technical-peer (evals/production reliability),Multimodal AI agents for video
Jeremy Ben-Meir,Co-Founder & CTO,PointOne,W24,https://linkedin.com/in/jeremyben-meir,technical,technical-peer (evals/production reliability),AI Time Platform for Law Firms
Daniel Portela,"Co-Founder, CTO",RetroFix,S24,https://www.linkedin.com/in/daniel-portela-febo/,technical,technical-peer (evals/production reliability),Automate any workflow using plain english
Derek Modzelewski,Co-Founder and CTO,Rewbi,S24,https://linkedin.com/in/derekmod,technical,technical-peer (evals/production reliability),Rewbi uses AI to increase grid-connected battery storage revenue 2x
Ivan Chan,Founder/CTO,RunLocal AI,S24,https://www.linkedin.com/in/ivan-chan-959610b7/,technical,technical-peer (evals/production reliability),The first AI agent for optimizing ML model inference on edge hardware
Edward Aryee,Co-Founder & CTO,SRE.ai,F24,https://www.linkedin.com/in/edwardaryee/,technical,technical-peer (evals/production reliability),AI DevOps Agents
Jack Cameron,Founder/CTO,Saldor,S24,https://www.linkedin.com/in/jackmcameron/,technical,technical-peer (evals/production reliability),
Maxmillion McLaughlin,Founder/CTO,Sorcerer,S24,https://www.linkedin.com/in/maxmclau/,technical,technical-peer (evals/production reliability),Building a nervous system for the atmosphere
Qi Zhang,CoFounder & CTO,StarJar,W24,https://linkedin.com/in/qi-zhang-21211264,technical,technical-peer (evals/production reliability),Starjar automates inbound document processing workflows for hospitals
Joachim Fainberg,Founder & CTO,The Forecasting Company,S24,https://linkedin.com/in/jfainberg,technical,technical-peer (evals/production reliability),Foundation models for time series
Edward Zhang,Co-Founder and CTO,Tiny,F24,https://www.linkedin.com/in/edward-zhang-14685828/,technical,technical-peer (evals/production reliability),A new kind of ERP system for factories
Serguei Balanovich,Founder & CTO,Upsolve AI,W24,https://linkedin.com/in/sbalanovich,technical,technical-peer (evals/production reliability),Deploy trustworthy data agent that know your business
Samuel Marciano,Co-Founder & CTO,Weel,S24,https://www.linkedin.com/in/samuel-marciano/,technical,technical-peer (evals/production reliability),GPS & dashcam smartphone app
Marius Seufzer,Founder& CTO,autarc,S24,https://www.linkedin.com/in/marius-seufzer,technical,technical-peer (evals/production reliability),autarc is the agentic OS for energy installers.
Vivek R,CTO / Founder,winfunc,S24,https://www.linkedin.com/in/123vivekr,technical,technical-peer (evals/production reliability),ai-native security engineering for mission critical codebases
Shirsendu Halder,Co-Founder & Head of ML,Jarmin,F25,https://www.linkedin.com/in/shirsenduhalder/,technical,technical-peer (evals/production reliability),AI Employees for human-level roles
Anton Zaliznyi,Co-founder & Chief AI Officer,Phases,S25,https://www.linkedin.com/in/anton-zaliznyi/,technical,technical-peer (evals/production reliability),Automated clinical trial oversight and execution
Gabriel Castillo,Founder,Rote,W27,https://www.linkedin.com/in/gabriel-ach/,founder,founder-to-founder (ship in 8 weeks),AI-native insurance department for auto body shops
Aditya Mittal,Founder,Rote,W27,https://www.linkedin.com/in/i-am-adityamittal/,founder,founder-to-founder (ship in 8 weeks),AI-native insurance department for auto body shops
David Roberts,Founder and CEO,10x Science,W26,https://www.linkedin.com/in/davidstephenroberts/,founder,founder-to-founder (ship in 8 weeks),The AI-native platform for next-generation protein characterization.
Andrew Reiter,Founder and COO,10x Science,W26,https://www.linkedin.com/in/andrew-r-593066136,founder,founder-to-founder (ship in 8 weeks),The AI-native platform for next-generation protein characterization.
Serafim Korablev,CEO / co-founder,21st,W26,https://www.linkedin.com/in/serafimkorablev,founder,founder-to-founder (ship in 8 weeks),Infrastructure and UI building blocks for the agentic internet
Sergey Bunas,Founder,21st,W26,https://www.linkedin.com/in/s-bunas/,founder,founder-to-founder (ship in 8 weeks),Infrastructure and UI building blocks for the agentic internet
Russell Smith,Founder / CEO,9 Mothers,P26,https://linkedin.com/in/russellhowardsmith,founder,founder-to-founder (ship in 8 weeks),AI mission systems
Roman Khomenko,Founder,9 Mothers,P26,https://www.linkedin.com/in/dowakin/,founder,founder-to-founder (ship in 8 weeks),AI mission systems
Bogdan Pyzh,"Co-Founder, COO",9 Mothers,P26,https://www.linkedin.com/in/bogdan-pyzh-b5b77388,founder,founder-to-founder (ship in 8 weeks),AI mission systems
Gregoire Chomette,Co-founder and CEO,AICE,P26,https://www.linkedin.com/in/gregoirechomette/,founder,founder-to-founder (ship in 8 weeks),Submarine drones for defense
Rémi Bouteiller,Founder,AICE,P26,https://www.linkedin.com/in/remi-bouteiller/,founder,founder-to-founder (ship in 8 weeks),Submarine drones for defense
Michael Belhassen,Founder,ANORIA,P26,https://www.linkedin.com/in/michael-belhassen/,founder,founder-to-founder (ship in 8 weeks),The first wearable that reads your emotions to enhance your EQ. 
Greg Kamradt,Founder/President,ARC Prize Foundation,W26,https://www.linkedin.com/in/gregkamradt/,founder,founder-to-founder (ship in 8 weeks),AI benchmarks that measure general intelligence and inspire new ideas
Daniel Mukasa,Founder & CEO,AbInitio Bio,P26,https://www.linkedin.com/in/daniel-mukasa-2a8927120/,founder,founder-to-founder (ship in 8 weeks),The Intelligence layer for Drug Manufacturing
Angus Muffatti,Founder/CEO,Advanced Metal Research,P26,https://www.linkedin.com/in/angusmuffatti/,founder,founder-to-founder (ship in 8 weeks),Machine intelligence for American Welding
Julian Fried,Founder,Advanced Metal Research,P26,https://www.linkedin.com/in/julian-fried-460691226,founder,founder-to-founder (ship in 8 weeks),Machine intelligence for American Welding
Stephen Lin,Founder,Advanced Metal Research,P26,https://www.linkedin.com/in/stephen-lin-0/,founder,founder-to-founder (ship in 8 weeks),Machine intelligence for American Welding
Richard Zhou,Founder,Aemon,W26,https://www.linkedin.com/in/-richard-zhou-/,founder,founder-to-founder (ship in 8 weeks),The Forward-Deployed AI Research Engineer 
Ray Xu,Founder,Aemon,W26,https://www.linkedin.com/in/yifei-ray-xu/,founder,founder-to-founder (ship in 8 weeks),The Forward-Deployed AI Research Engineer 
Manav Modi,Founder,AgentPhone,P26,https://www.linkedin.com/in/manav2modi/,founder,founder-to-founder (ship in 8 weeks),Phone Numbers for AI Agents
Meet Modi,Founder,AgentPhone,P26,https://www.linkedin.com/in/meetmodi-/,founder,founder-to-founder (ship in 8 weeks),Phone Numbers for AI Agents
Paulina Xu,Founder,Agentic Fabriq,W26,https://www.linkedin.com/in/paulina-xu-5bba0821b?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,founder,founder-to-founder (ship in 8 weeks),Okta for Agents.
Matthew Xu,Founder,Agentic Fabriq,W26,https://www.linkedin.com/in/matthew-xu-b32a36271,founder,founder-to-founder (ship in 8 weeks),Okta for Agents.
Samuel Fu,Co-Founder,Alchemize,P26,https://www.linkedin.com/in/samuelfu/,founder,founder-to-founder (ship in 8 weeks),AI-Native Customs Brokerage
Robert Hou,Co-Founder,Alchemize,P26,https://www.linkedin.com/in/robert-hou-427856149,founder,founder-to-founder (ship in 8 weeks),AI-Native Customs Brokerage
Dasmer Singh,Founder,Allowance,P26,https://www.linkedin.com/in/dasmer,founder,founder-to-founder (ship in 8 weeks),Scoped payment credentials for AI agents
Ryan Samadi,Founder,Alt-X,W26,https://www.linkedin.com/in/ryan-samadi/,founder,founder-to-founder (ship in 8 weeks),Automation for institutional-grade financial modeling in Excel
Michael Wachsman,Founder,Alt-X,W26,https://www.linkedin.com/in/michael-wachsman-a0912a1ab/,founder,founder-to-founder (ship in 8 weeks),Automation for institutional-grade financial modeling in Excel
Amin Mokadem,Founder,Amboras,P26,https://www.linkedin.com/in/amin-mokadem-003bb3393/,founder,founder-to-founder (ship in 8 weeks),Let AI sell your stuff on autopilot
Imad Mokadem,Founder,Amboras,P26,https://www.linkedin.com/in/imad-eddine-mokadem-36aa64224/,founder,founder-to-founder (ship in 8 weeks),Let AI sell your stuff on autopilot
Ryan Xue,"Founder, CEO",Andco,P26,https://www.linkedin.com/in/ryanxue/,founder,founder-to-founder (ship in 8 weeks),End-to-end case workups for personal injury firms.
David Lee,Founder,Andco,P26,https://linkedin.com/in/lee-david3,founder,founder-to-founder (ship in 8 weeks),End-to-end case workups for personal injury firms.
Michael Lemm,Founder,Andco,P26,https://www.linkedin.com/in/michael-s-lemm/,founder,founder-to-founder (ship in 8 weeks),End-to-end case workups for personal injury firms.
Het Dave,Founder,Andustry,P26,https://www.linkedin.com/in/hetdave/,founder,founder-to-founder (ship in 8 weeks),We help manufacturers find suppliers for industrial goods.
Johann Stürken,Founder,Andustry,P26,https://www.linkedin.com/in/johannstuerken,founder,founder-to-founder (ship in 8 weeks),We help manufacturers find suppliers for industrial goods.
Ethan Pronev,Founder,Approxima,W26,https://www.linkedin.com/in/ethan-pronev/,founder,founder-to-founder (ship in 8 weeks),Your software should build itself.
Ashish Selvaraj,Founder,Approxima,W26,https://www.linkedin.com/in/ashish-selvaraj/,founder,founder-to-founder (ship in 8 weeks),Your software should build itself.
Paul Beckers,Co-Founder,AquaShield,P26,https://www.linkedin.com/in/pbeckers1,founder,founder-to-founder (ship in 8 weeks),AI water leak detection for buildings
Marguerite Benoist,Co-Founder,AquaShield,P26,https://www.linkedin.com/in/marguerite-benoist,founder,founder-to-founder (ship in 8 weeks),AI water leak detection for buildings
Adi Singh,Founder,Ara,P26,https://www.linkedin.com/in/adisinghlink,founder,founder-to-founder (ship in 8 weeks),Ara is the self-driving IDE for software teams.
Noah Song,Founder,Archal,S26,https://www.linkedin.com/in/noah-j-song/,founder,founder-to-founder (ship in 8 weeks),The eval platform for autonomous software
Aidan Tiruvan,Founder,Archal,S26,https://www.linkedin.com/in/aidantiruvan/,founder,founder-to-founder (ship in 8 weeks),The eval platform for autonomous software
Benjamin Nguyen,Founder,Archer,P26,https://www.linkedin.com/in/benjaminnguyen206/,founder,founder-to-founder (ship in 8 weeks),The AI business bank. Let agents move your money.
Vivek Yanamadula,Co-Founder,Archer,P26,https://www.linkedin.com/in/vivekyy/,founder,founder-to-founder (ship in 8 weeks),The AI business bank. Let agents move your money.
Michael Clark,Co-Founder,Arctic Health,P26,https://www.linkedin.com/in/michael-clark-newyork/,founder,founder-to-founder (ship in 8 weeks),AI-native credentialing and contracting for healthcare
